就自付差額項目,資料年月,縣市別,特約類別,醫事機構代碼,醫事機構名稱,自付差額數量占率,同儕平均值
加長型伽瑪髓內釘組,202010,高雄市,地區醫院,1542011282,杏和醫院,100.0,27.2
冠狀動脈塗藥支架,202010,南投縣,地區醫院,0938030016,佑民醫療社團法人佑民醫院,78.9,40.3
冠狀動脈塗藥支架,202010,嘉義市,地區醫院,0122020517,衛生福利部嘉義醫院,50.0,40.3
冠狀動脈塗藥支架,202010,嘉義市,地區醫院,1522011115,陽明醫院,18.2,40.3
冠狀動脈塗藥支架,202010,屏東縣,地區醫院,0943160012,枋寮醫療社團法人枋寮醫院,32.0,40.3
冠狀動脈塗藥支架,202010,彰化縣,地區醫院,0937050014,員榮醫療社團法人員榮醫院,48.7,40.3
冠狀動脈塗藥支架,202010,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,53.3,40.3
冠狀動脈塗藥支架,202010,新北市,地區醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,76.7,40.3
冠狀動脈塗藥支架,202010,新北市,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,100.0,40.3
冠狀動脈塗藥支架,202010,新北市,地區醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,63.8,40.3
冠狀動脈塗藥支架,202010,新北市,地區醫院,1531060180,新泰綜合醫院,50.0,40.3
冠狀動脈塗藥支架,202010,新竹市,地區醫院,1112010528,國泰醫療財團法人新竹國泰綜合醫院,83.3,40.3
冠狀動脈塗藥支架,202010,新竹市,地區醫院,1512011185,南門綜合醫院,22.2,40.3
冠狀動脈塗藥支架,202010,新竹縣,地區醫院,0433050018,國立臺灣大學醫學院附設醫院新竹生醫園區分院,72.7,40.3
冠狀動脈塗藥支架,202010,新竹縣,地區醫院,1333050017,中國醫藥大學新竹附設醫院,91.1,40.3
冠狀動脈塗藥支架,202010,澎湖縣,地區醫院,0144010015,衛生福利部澎湖醫院,33.3,40.3
冠狀動脈塗藥支架,202010,澎湖縣,地區醫院,0544010031,三軍總醫院澎湖分院附設民眾診療服務處,42.9,40.3
冠狀動脈塗藥支架,202010,臺中市,地區醫院,0903150014,林新醫療社團法人烏日林新醫院,60.0,40.3
冠狀動脈塗藥支架,202010,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,86.4,40.3
冠狀動脈塗藥支架,202010,臺中市,地區醫院,1503190020,長安醫院,55.6,40.3
冠狀動脈塗藥支架,202010,臺北市,地區醫院,1501010010,博仁綜合醫院,84.6,40.3
冠狀動脈塗藥支架,202010,臺南市,地區醫院,1521031104,郭綜合醫院,61.5,40.3
冠狀動脈塗藥支架,202010,苗栗縣,地區醫院,1535010051,大千綜合醫院,37.0,40.3
冠狀動脈塗藥支架,202010,金門縣,地區醫院,0190030516,衛生福利部金門醫院,40.0,40.3
冠狀動脈塗藥支架,202010,雲林縣,地區醫院,0439010527,國立成功大學醫學院附設醫院斗六分院,100.0,40.3
冠狀動脈塗藥支架,202010,雲林縣,地區醫院,1139040011,彰化基督教醫療財團法人雲林基督教醫院,50.0,40.3
冠狀動脈塗藥支架,202010,高雄市,地區醫院,0102080017,高雄市立民生醫院,35.0,40.3
冠狀動脈塗藥支架,202010,高雄市,地區醫院,0142030019,衛生福利部旗山醫院,37.5,40.3
人工水晶體,202010,南投縣,地區醫院,0938030016,佑民醫療社團法人佑民醫院,57.7,58.4
人工水晶體,202010,南投縣,地區醫院,1138010019,彰化基督教醫療財團法人南投基督教醫院,100.0,58.4
人工水晶體,202010,南投縣,地區醫院,1538041101,竹山秀傳醫院,41.7,58.4
人工水晶體,202010,嘉義市,地區醫院,0922020022,慶昇醫療社團法人慶昇醫院,36.7,58.4
人工水晶體,202010,嘉義市,地區醫院,1522011115,陽明醫院,29.4,58.4
人工水晶體,202010,屏東縣,地區醫院,0643130018,高雄榮民總醫院屏東分院,62.5,58.4
人工水晶體,202010,彰化縣,地區醫院,1137020520,彰化基督教醫療財團法人鹿港基督教醫院,50.0,58.4
人工水晶體,202010,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,52.2,58.4
人工水晶體,202010,彰化縣,地區醫院,1137080017,彰化基督教醫療財團法人二林基督教醫院,14.5,58.4
人工水晶體,202010,新北市,地區醫院,0131060010,衛生福利部樂生療養院,100.0,58.4
人工水晶體,202010,新北市,地區醫院,0431270012,國立臺灣大學醫學院附設醫院金山分院,29.6,58.4
人工水晶體,202010,新北市,地區醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,24.3,58.4
人工水晶體,202010,新北市,地區醫院,1231030015,天主教耕莘醫療財團法人永和耕莘醫院,52.2,58.4
人工水晶體,202010,新北市,地區醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,32.6,58.4
人工水晶體,202010,新北市,地區醫院,1531060180,新泰綜合醫院,61.9,58.4
人工水晶體,202010,新竹市,地區醫院,1112010528,國泰醫療財團法人新竹國泰綜合醫院,64.0,58.4
人工水晶體,202010,新竹縣,地區醫院,1133060019,天主教仁慈醫療財團法人仁慈醫院,30.8,58.4
人工水晶體,202010,新竹縣,地區醫院,1333050017,中國醫藥大學新竹附設醫院,54.5,58.4
人工水晶體,202010,桃園市,地區醫院,1532021338,中壢長榮醫院,52.9,58.4
人工水晶體,202010,桃園市,地區醫院,1532040039,天成醫院,17.4,58.4
人工水晶體,202010,桃園市,地區醫院,1532040066,怡仁綜合醫院,52.4,58.4
人工水晶體,202010,桃園市,地區醫院,1532061065,大園敏盛醫院,50.0,58.4
人工水晶體,202010,澎湖縣,地區醫院,0544010031,三軍總醫院澎湖分院附設民眾診療服務處,55.0,58.4
人工水晶體,202010,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,34.8,58.4
人工水晶體,202010,臺中市,地區醫院,1503190020,長安醫院,26.2,58.4
人工水晶體,202010,臺中市,地區醫院,1536100081,清泉醫院,54.5,58.4
人工水晶體,202010,臺中市,地區醫院,1536200022,達明眼科醫院,33.3,58.4
人工水晶體,202010,臺北市,地區醫院,0901020013,中山醫療社團法人中山醫院,40.0,58.4
人工水晶體,202010,臺北市,地區醫院,0901180023,郵政醫院（委託中英醫療社團法人經營）,41.2,58.4
人工水晶體,202010,臺北市,地區醫院,0901190010,西園醫療社團法人西園醫院,100.0,58.4
人工水晶體,202010,臺北市,地區醫院,1401190011,財團法人台灣省私立台北仁濟院附設仁濟醫院,50.0,58.4
人工水晶體,202010,臺南市,地區醫院,0141010013,衛生福利部新營醫院,75.0,58.4
人工水晶體,202010,臺南市,地區醫院,0641310018,高雄榮民總醫院臺南分院,22.6,58.4
人工水晶體,202010,臺南市,地區醫院,1105050012,奇美醫療財團法人佳里奇美醫院,73.0,58.4
人工水晶體,202010,臺南市,地區醫院,1541011126,營新醫院,26.7,58.4
人工水晶體,202010,臺東縣,地區醫院,1146010032,東基醫療財團法人台東基督教醫院,10.0,58.4
人工水晶體,202010,花蓮縣,地區醫院,0145010019,衛生福利部花蓮醫院,5.9,58.4
人工水晶體,202010,金門縣,地區醫院,0190030516,衛生福利部金門醫院,56.2,58.4
人工水晶體,202010,雲林縣,地區醫院,1139030015,天主教若瑟醫療財團法人若瑟醫院,42.4,58.4
人工水晶體,202010,雲林縣,地區醫院,1139040011,彰化基督教醫療財團法人雲林基督教醫院,52.5,58.4
人工水晶體,202010,高雄市,地區醫院,0102080017,高雄市立民生醫院,9.1,58.4
人工水晶體,202010,高雄市,地區醫院,0142030019,衛生福利部旗山醫院,18.2,58.4
人工水晶體,202010,高雄市,地區醫院,0942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,34.4,58.4
人工水晶體,202010,高雄市,地區醫院,1107350015,天主教聖功醫療財團法人聖功醫院,100.0,58.4
人工水晶體,202010,高雄市,地區醫院,1502031095,馨蕙馨醫院,51.9,58.4
人工水晶體,202010,高雄市,地區醫院,1507010014,新高鳳醫院,32.4,58.4
人工水晶體,202010,高雄市,地區醫院,1507300077,博田國際醫院,66.7,58.4
人工水晶體,202010,高雄市,地區醫院,1507320015,新高醫院,66.7,58.4
人工水晶體,202010,高雄市,地區醫院,1542050056,建佑醫院,66.7,58.4
人工心律調節器,202010,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,20.0,55.6
人工心律調節器,202010,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,50.0,55.6
人工心律調節器,202010,苗栗縣,地區醫院,1535010051,大千綜合醫院,100.0,55.6
人工心律調節器,202010,雲林縣,地區醫院,0439010527,國立成功大學醫學院附設醫院斗六分院,100.0,55.6
調控式腦室腹腔引流系統,202010,南投縣,地區醫院,0938030016,佑民醫療社團法人佑民醫院,100.0,14.3
調控式腦室腹腔引流系統,202010,彰化縣,地區醫院,1137050019,彰化基督教醫療財團法人員林基督教醫院,100.0,14.3
調控式腦室腹腔引流系統,202010,新北市,地區醫院,1131130018,新北市立土城醫院（委託長庚醫療財團法人興建經營）,100.0,14.3
調控式腦室腹腔引流系統,202010,新北市,地區醫院,1331160010,輔仁大學學校財團法人輔仁大學附設醫院,100.0,14.3
調控式腦室腹腔引流系統,202010,新竹縣,地區醫院,1333050017,中國醫藥大學新竹附設醫院,100.0,14.3
調控式腦室腹腔引流系統,202010,桃園市,地區醫院,1532040039,天成醫院,66.7,14.3
調控式腦室腹腔引流系統,202010,臺中市,地區醫院,1303180011,亞洲大學附屬醫院,100.0,14.3
